run_id,num_missiles,engagement_range,axis,hits,destroyed,timeouts,ship_killed,hits_taken
7,1,3500.0,broadside,0,1,0,0,0
8,1,3500.0,broadside,0,1,0,0,0
9,1,3500.0,broadside,0,1,0,0,0
10,1,3500.0,broadside,0,1,0,0,0
1,2,3500.0,broadside,0,2,0,0,0
2,2,3500.0,broadside,0,2,0,0,0
3,2,3500.0,broadside,0,2,0,0,0
4,2,3500.0,broadside,0,2,0,0,0
5,2,3500.0,broadside,0,2,0,0,0
6,2,3500.0,broadside,0,2,0,0,0
7,2,3500.0,broadside,0,2,0,0,0
8,2,3500.0,broadside,0,2,0,0,0
9,2,3500.0,broadside,0,2,0,0,0
10,2,3500.0,broadside,0,2,0,0,0
1,3,3500.0,broadside,0,3,0,0,0
2,3,3500.0,broadside,0,3,0,0,0
3,3,3500.0,broadside,0,3,0,0,0
4,3,3500.0,broadside,0,3,0,0,0
5,3,3500.0,broadside,0,3,0,0,0
6,3,3500.0,broadside,0,3,0,0,0
7,3,3500.0,broadside,0,3,0,0,0
8,3,3500.0,broadside,0,3,0,0,0
9,3,3500.0,broadside,0,3,0,0,0
10,3,3500.0,broadside,0,3,0,0,0
1,4,3500.0,broadside,0,4,0,0,0
2,4,3500.0,broadside,0,4,0,0,0
3,4,3500.0,broadside,0,4,0,0,0
4,4,3500.0,broadside,0,4,0,0,0
5,4,3500.0,broadside,0,4,0,0,0
6,4,3500.0,broadside,0,4,0,0,0
7,4,3500.0,broadside,0,4,0,0,0
8,4,3500.0,broadside,0,4,0,0,0
9,4,3500.0,broadside,0,4,0,0,0
10,4,3500.0,broadside,0,4,0,0,0
1,5,3500.0,broadside,0,5,0,0,0
2,5,3500.0,broadside,0,5,0,0,0
3,5,3500.0,broadside,0,5,0,0,0
4,5,3500.0,broadside,0,5,0,0,0
5,5,3500.0,broadside,0,5,0,0,0
6,5,3500.0,broadside,0,5,0,0,0
7,5,3500.0,broadside,0,5,0,0,0
8,5,3500.0,broadside,0,5,0,0,0
9,5,3500.0,broadside,0,5,0,0,0
10,5,3500.0,broadside,0,5,0,0,0
1,6,3500.0,broadside,0,6,0,0,0
2,6,3500.0,broadside,0,6,0,0,0
3,6,3500.0,broadside,0,6,0,0,0
4,6,3500.0,broadside,0,6,0,0,0
5,6,3500.0,broadside,0,6,0,0,0
6,6,3500.0,broadside,0,6,0,0,0
7,6,3500.0,broadside,0,6,0,0,0
8,6,3500.0,broadside,0,6,0,0,0
9,6,3500.0,broadside,0,6,0,0,0
10,6,3500.0,broadside,0,6,0,0,0
1,8,3500.0,broadside,0,8,0,0,0
2,8,3500.0,broadside,0,8,0,0,0
3,8,3500.0,broadside,0,8,0,0,0
4,8,3500.0,broadside,0,8,0,0,0
5,8,3500.0,broadside,0,8,0,0,0
6,8,3500.0,broadside,0,8,0,0,0
7,8,3500.0,broadside,0,8,0,0,0
8,8,3500.0,broadside,0,8,0,0,0
9,8,3500.0,broadside,0,8,0,0,0
10,8,3500.0,broadside,0,8,0,0,0
1,10,3500.0,broadside,2,8,0,0,2
2,10,3500.0,broadside,2,8,0,0,2
3,10,3500.0,broadside,2,8,0,0,2
4,10,3500.0,broadside,3,7,0,0,3
5,10,3500.0,broadside,0,10,0,0,0
6,10,3500.0,broadside,2,8,0,0,2
7,10,3500.0,broadside,0,10,0,0,0
8,10,3500.0,broadside,2,8,0,0,2
9,10,3500.0,broadside,0,10,0,0,0
